DateTime_CST,floorhour,Time_sec,DateTime_UTC,Battery_V,Temp_degC,DO_mgL,DO_sat
2018-12-16T09:00:00Z,2018-12-16T09:00:00Z,1544950800,2018-12-16T15:00:00Z,3.39,3.917,0.16,0.01218163556539345
2018-12-16T10:00:00Z,2018-12-16T10:00:00Z,1544954400,2018-12-16T16:00:00Z,3.39,3.937,0.161,0.01226423227415044
2018-12-16T11:00:00Z,2018-12-16T11:00:00Z,1544958000,2018-12-16T17:00:00Z,3.39,3.927,0.162,0.01233715669457706
2018-12-16T12:00:00Z,2018-12-16T12:00:00Z,1544961600,2018-12-16T18:00:00Z,3.39,3.906,0.163,0.01240644369809592
2018-12-16T13:00:00Z,2018-12-16T13:00:00Z,1544965200,2018-12-16T19:00:00Z,3.39,3.896,0.162,0.0123270803887914
2018-12-16T14:00:00Z,2018-12-16T14:00:00Z,1544968800,2018-12-16T20:00:00Z,3.39,3.886,0.159,0.01209561139905707
2018-12-16T15:00:00Z,2018-12-16T15:00:00Z,1544972400,2018-12-16T21:00:00Z,3.39,3.875,0.16,0.01216815395036936
2018-12-16T16:00:00Z,2018-12-16T16:00:00Z,1544976000,2018-12-16T22:00:00Z,3.39,3.906,0.162,0.01233033054657386
2018-12-16T17:00:00Z,2018-12-16T17:00:00Z,1544979600,2018-12-16T23:00:00Z,3.39,3.865,0.161,0.01224097559129509
2018-12-16T18:00:00Z,2018-12-16T18:00:00Z,1544983200,2018-12-17T00:00:00Z,3.39,3.886,0.163,0.01239990350972518
2018-12-16T19:00:00Z,2018-12-16T19:00:00Z,1544986800,2018-12-17T01:00:00Z,3.39,3.844,0.161,0.01223419483003576
2018-12-16T20:00:00Z,2018-12-16T20:00:00Z,1544990400,2018-12-17T02:00:00Z,3.39,3.886,0.156,0.011867392316056
2018-12-16T21:00:00Z,2018-12-16T21:00:00Z,1544994000,2018-12-17T03:00:00Z,3.39,3.886,0.157,0.011943465343723021
2018-12-16T22:00:00Z,2018-12-16T22:00:00Z,1544997600,2018-12-17T04:00:00Z,3.39,3.886,0.159,0.01209561139905707
2018-12-16T23:00:00Z,2018-12-16T23:00:00Z,1545001200,2018-12-17T05:00:00Z,3.39,3.886,0.161,0.01224775745439112
2018-12-17T00:00:00Z,2018-12-17T00:00:00Z,1545004800,2018-12-17T06:00:00Z,3.39,3.896,0.158,0.0120227080335126
2018-12-17T01:00:00Z,2018-12-17T01:00:00Z,1545008400,2018-12-17T07:00:00Z,3.39,3.917,0.155,0.0118009594539749
2018-12-17T02:00:00Z,2018-12-17T02:00:00Z,1545012000,2018-12-17T08:00:00Z,3.39,3.896,0.151,0.0114900564117747
2018-12-17T03:00:00Z,2018-12-17T03:00:00Z,1545015600,2018-12-17T09:00:00Z,3.39,3.906,0.156,0.01187365163744149
2018-12-17T04:00:00Z,2018-12-17T04:00:00Z,1545019200,2018-12-17T10:00:00Z,3.39,3.896,0.158,0.0120227080335126
2018-12-17T05:00:00Z,2018-12-17T05:00:00Z,1545022800,2018-12-17T11:00:00Z,3.39,3.917,0.155,0.0118009594539749
2018-12-17T06:00:00Z,2018-12-17T06:00:00Z,1545026400,2018-12-17T12:00:00Z,3.39,3.906,0.152,0.01156919903135325
2018-12-17T07:00:00Z,2018-12-17T07:00:00Z,1545030000,2018-12-17T13:00:00Z,3.39,3.896,0.155,0.0117944287670535
2018-12-17T08:00:00Z,2018-12-17T08:00:00Z,1545033600,2018-12-17T14:00:00Z,3.39,3.906,0.15,0.01141697272830913
2018-12-17T09:00:00Z,2018-12-17T09:00:00Z,1545037200,2018-12-17T15:00:00Z,3.39,3.927,0.158,0.01203253554162453
2018-12-17T10:00:00Z,2018-12-17T10:00:00Z,1545040800,2018-12-17T16:00:00Z,3.39,3.906,0.16,0.01217810424352974
2018-12-17T11:00:00Z,2018-12-17T11:00:00Z,1545044400,2018-12-17T17:00:00Z,3.39,3.917,0.157,0.01195322989854232
2018-12-17T12:00:00Z,2018-12-17T12:00:00Z,1545048000,2018-12-17T18:00:00Z,3.39,3.906,0.162,0.01233033054657386
2018-12-17T13:00:00Z,2018-12-17T13:00:00Z,1545051600,2018-12-17T19:00:00Z,3.39,3.906,0.161,0.0122542173950518
2018-12-17T14:00:00Z,2018-12-17T14:00:00Z,1545055200,2018-12-17T20:00:00Z,3.39,3.906,0.157,0.01194976478896356
2018-12-17T15:00:00Z,2018-12-17T15:00:00Z,1545058800,2018-12-17T21:00:00Z,3.39,3.906,0.162,0.01233033054657386
2018-12-17T16:00:00Z,2018-12-17T16:00:00Z,1545062400,2018-12-17T22:00:00Z,3.39,3.937,0.162,0.0123404076298905
2018-12-17T17:00:00Z,2018-12-17T17:00:00Z,1545066000,2018-12-17T23:00:00Z,3.39,3.917,0.161,0.01225777078767715
2018-12-17T18:00:00Z,2018-12-17T18:00:00Z,1545069600,2018-12-18T00:00:00Z,3.39,3.948,0.159,0.01211539165281901
2018-12-17T19:00:00Z,2018-12-17T19:00:00Z,1545073200,2018-12-18T01:00:00Z,3.39,3.906,0.159,0.01210199109200768
2018-12-17T20:00:00Z,2018-12-17T20:00:00Z,1545076800,2018-12-18T02:00:00Z,3.39,3.948,0.154,0.01173440449392533
2018-12-17T21:00:00Z,2018-12-17T21:00:00Z,1545080400,2018-12-18T03:00:00Z,3.39,3.927,0.158,0.01203253554162453
2018-12-17T22:00:00Z,2018-12-17T22:00:00Z,1545084000,2018-12-18T04:00:00Z,3.39,3.927,0.159,0.01210869082986266
2018-12-17T23:00:00Z,2018-12-17T23:00:00Z,1545087600,2018-12-18T05:00:00Z,3.39,3.937,0.159,0.01211188156267031
2018-12-18T00:00:00Z,2018-12-18T00:00:00Z,1545091200,2018-12-18T06:00:00Z,3.39,3.927,0.159,0.01210869082986266
2018-12-18T01:00:00Z,2018-12-18T01:00:00Z,1545094800,2018-12-18T07:00:00Z,3.39,3.917,0.158,0.01202936512082603
2018-12-18T02:00:00Z,2018-12-18T02:00:00Z,1545098400,2018-12-18T08:00:00Z,3.39,3.906,0.155,0.01179753848591943
2018-12-18T03:00:00Z,2018-12-18T03:00:00Z,1545102000,2018-12-18T09:00:00Z,3.39,3.906,0.16,0.01217810424352974
2018-12-18T04:00:00Z,2018-12-18T04:00:00Z,1545105600,2018-12-18T10:00:00Z,3.39,3.896,0.162,0.0123270803887914
2018-12-18T05:00:00Z,2018-12-18T05:00:00Z,1545109200,2018-12-18T11:00:00Z,3.39,3.875,0.163,0.01239630683693879
2018-12-18T06:00:00Z,2018-12-18T06:00:00Z,1545112800,2018-12-18T12:00:00Z,3.39,3.906,0.162,0.01233033054657386
2018-12-18T07:00:00Z,2018-12-18T07:00:00Z,1545116400,2018-12-18T13:00:00Z,3.39,3.906,0.16,0.01217810424352974
2018-12-18T08:00:00Z,2018-12-18T08:00:00Z,1545120000,2018-12-18T14:00:00Z,3.39,3.896,0.157,0.0119466149446929
2018-12-18T09:00:00Z,2018-12-18T09:00:00Z,1545123600,2018-12-18T15:00:00Z,3.39,3.896,0.16,0.012174894211152
2018-12-18T10:00:00Z,2018-12-18T10:00:00Z,1545127200,2018-12-18T16:00:00Z,3.39,3.834,0.161,0.01223096628367318
